Columna,Distribución,k,H(X),Hn(X),C(X),U(X),1-U(X),EIAC,Relevancia,Clasificación funcional,Análisis,Datos faltantes,Valor más frecuente,Frecuencia valor más frecuente,Total observado
000 - Normal,1 = 22264; 0 = 17736,2,0.990737,0.990737,1.0,5e-05,0.99995,0.990687,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,1,22264,40000
66 - SQL Injection,0 = 29196; 1 = 10804,2,0.841608,0.841608,1.0,5e-05,0.99995,0.841566,Alta relevancia,Analítica complementaria,Alta relevancia informativa; columna analítica complementaria.,0,0,29196,40000
src_port,49692 = 55; 57897 = 51; 49691 = 50; 49690 = 47; ... + 13192 valores,13196,13.251142,0.968098,1.0,0.3299,0.6701,0.648722,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,49692,55,40000
request_user_agent,Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0 = 22513; Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0 = 838; Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html) = 403; Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Win64; x64; Trident/6.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET CLR 2.0.50727) = 27; ... + 1161 valores,1165,5.22385,0.51284,0.99505,0.029125,0.970875,0.495439,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,198,Mozilla/5.0 (X11; Linux x86_64; rv:70.0) Gecko/20100101 Firefox/70.0,22513,39802
response_content_length,276 = 13798; 25174 = 8668; 53918 = 3997; 25173 = 3242; ... + 766 valores,770,3.918136,0.40862,0.996175,0.01925,0.98075,0.399221,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,153,276,13798,39847
request_cookie,wordpress_test_cookie=WP+Cookie+check = 2060; wordpress_test_cookie=WP+Cookie+check; wordpress_logged_in_1aefbe2f76edd740f8e362f39da3353b=rafael%7C1595192794%7Cac2rIDjGxLVFiHg6gbhjlqskQeNCp4jlT2Ie0y0aAac%7C46ce7c738987c7405e97a93bf8801872fc61acea0d217d2ba547814ea71cc3d4 = 987; wordpress_logged_in_1aefbe2f76edd740f8e362f39da3353b=rafael%7C1595323524%7C6tC0Bz0qiJuGChXpFpxWSj0f3S8yenNYTdZsIhm2LRR%7Cbabde797833e7bb3ef2675427c083c091406c9fd8627fefa2d894bad550a3656; wordpress_test_cookie=WP+Cookie+check = 950; wordpress_test_cookie=WP+Cookie+check; wordpress_logged_in_1aefbe2f76edd740f8e362f39da3353b=rafael%7C1595188528%7ClHi7YVFypQtuJVAqG6B4FOpzZ24r5fr11PP0w4JBwKX%7C05eff642e7638456de705bca89de40119bc343cb09e3b0c57372fe30717543b0 = 689; ... + 3489 valores,3493,9.448689,0.80276,0.499025,0.087325,0.912675,0.365615,Relevancia media,Bajo aporte por datos faltantes,Relevancia informativa media; requiere revisión por datos faltantes.,20039,wordpress_test_cookie=WP+Cookie+check,2060,19961
response_http_status_code,200 = 19387; 404 = 18895; 301 = 1179; 400 = 230; ... + 8 valores,12,1.28096,0.357315,1.0,0.0003,0.9997,0.357207,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,200,19387,40000
response_http_status_message,OK = 19387; Not Found = 18895; Moved Permanently = 1179; Bad Request = 230; ... + 8 valores,12,1.28096,0.357315,1.0,0.0003,0.9997,0.357207,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,OK,19387,40000
194 - Fake the Source of Data,0 = 37465; 1 = 2535,2,0.340699,0.340699,1.0,5e-05,0.99995,0.340682,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,0,37465,40000
request_http_request,/ = 12845; /blog/wp-login.php = 746; /blog/index.php/comments/feed/ = 582; /blog/index.php/my-account/ = 207; ... + 20322 valores,20326,9.865777,0.689382,1.0,0.50815,0.49185,0.339073,Relevancia media,Analítica complementaria,Relevancia informativa media; columna analítica complementaria.,0,/,12845,40000
request_referer,http://test-site.com/ = 2204; http://test-site.com/blog/index.php/page/2/ = 1059; http://test-site.com/blog/index.php/my-account/edit-profile/ = 832; http://test-site.com/blog/index.php/my-account/ = 661; ... + 399 valores,403,5.858643,0.676937,0.332925,0.010075,0.989925,0.223099,Baja relevancia,Bajo aporte por datos faltantes,Baja relevancia informativa; requiere revisión por datos faltantes.,26683,http://test-site.com/,2204,13317
126 - Path Traversal,0 = 38581; 1 = 1419,2,0.221146,0.221146,1.0,5e-05,0.99995,0.221135,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,38581,40000
request_connection,keep-alive = 16261; Close = 4213; close = 197; Keep-Alive = 13,4,0.811085,0.405542,0.5171,0.0001,0.9999,0.209685,Baja relevancia,Analítica complementaria,Baja relevancia informativa; columna analítica complementaria.,19316,keep-alive,16261,20684
ID,66 = 10517; 194 = 2373; 34 = 811; 126 = 746; ... + 55 valores,59,2.52659,0.429499,0.4434,0.001475,0.998525,0.190159,Baja relevancia,Trazabilidad,Baja relevancia informativa; columna de trazabilidad.,22264,66,10517,17736
Name,SQL Injection = 10517; Fake the Source of Data = 2373; HTTP Response Splitting = 811; Path Traversal = 746; ... + 55 valores,59,2.52659,0.429499,0.4434,0.001475,0.998525,0.190159,Baja relevancia,Trazabilidad,Baja relevancia informativa; columna de trazabilidad.,22264,SQL Injection,10517,17736
272 - Protocol Manipulation,0 = 38880; 1 = 1120,2,0.184261,0.184261,1.0,5e-05,0.99995,0.184251,Baja relevancia,Bajo aporte por baja variabilidad,Baja relevancia informativa; bajo aporte por baja variabilidad.,0,0,38880,40000
timestamp,19/Jul/2020:10:45:37 +0200 = 27; 19/Jul/2020:10:45:40 +0200 = 26; 19/Jul/2020:10:45:38 +0200 = 25; 19/Jul/2020:10:46:01 +0200 = 23; ... + 32565 valores,32569,14.855483,0.990946,1.0,0.814225,0.185775,0.184093,Baja relevancia,Candidata a limpieza o revisión,Baja relevancia informativa; candidata a limpieza o revisión.,0,19/Jul/2020:10:45:37 +0200,27,40000
Status,Draft = 12059; Stable = 3769; Draft; Draft = 1288; Draft; Stable = 256; ... + 9 valores,13,1.37756,0.372269,0.4434,0.000325,0.999675,0.165011,Baja relevancia,Analítica,Baja relevancia informativa; columna analítica para comparar registros.,22264,Draft,12059,17736
